event_name,category,city,country,year,venue_name,attendance,duration_days,ticket_price_early_bird,ticket_price_standard,ticket_price_vip,sponsors,speakers,communities_promoted,total_revenue_inr
AI Summit Delhi 2024,AI/ML,New Delhi,India,2024,Pragati Maidan,2200,2,1999,3999,9999,Google|Microsoft|AWS,Andrew Ng|Fei-Fei Li|Apoorv Saxena,LinkedIn AI India|Kaggle India,10500000
DevOps India Meetup 2024,DevOps / Cloud,Pune,India,2024,Symbiosis Auditorium,600,1,999,1499,3999,GitHub|Docker|Atlassian,Kelsey Hightower|Bret Fisher,DevOps India Slack|LinkedIn Cloud India,900000
FinTech Nexus India 2024,Fintech,Mumbai,India,2024,JW Marriott Mumbai,2000,2,3999,6999,15999,Visa|Mastercard|Paytm,Vijay Shekhar Sharma|Nandan Nilekani,Fintech India|LinkedIn Finance India,15000000
Web3 Connect 2024,Web3 / Blockchain,Bangalore,India,2024,KTPO Whitefield,900,2,2999,4999,11999,Polygon|Solana|CoinDCX,Sandeep Nailwal|Balaji Srinivasan,Crypto India Discord|Web3 India Telegram,6500000
Cloud Native Conf 2024,DevOps / Cloud,Hyderabad,India,2024,HICC,1200,2,1999,3499,8999,Red Hat|AWS|Google Cloud,Kelsey Hightower|Liz Rice,CNCF India|LinkedIn Cloud India,5200000
Data Science Congress 2024,AI/ML,Bangalore,India,2024,IISc Auditorium,1800,2,2499,4499,10999,NVIDIA|Databricks|Snowflake,Lex Fridman|Soumith Chintala,Kaggle India|Analytics Vidhya,8800000
Startup Growth Summit 2024,Startup,Delhi,India,2024,Leela Ambience,1500,1,2999,4999,12999,Sequoia|Accel|YCombinator,Ritesh Agarwal|Deepinder Goyal,Startup India|LinkedIn Founders,7200000
CyberSec India Expo 2024,Cybersecurity,Bangalore,India,2024,Palace Grounds,1300,2,1999,3499,8999,Fortinet|Palo Alto|Cisco,Bruce Schneier|Kevin Mitnick,ISACA India|CyberSec Discord,5800000
EdTech Future 2024,Edtech,Pune,India,2024,Balewadi Stadium,800,1,999,1999,5999,Byju's|Unacademy|Coursera,Gaurav Munjal|Roman Saini,EdTech India|LinkedIn Learning,2100000
Green Energy Summit 2024,ClimateTech,Ahmedabad,India,2024,Gandhinagar Convention Centre,700,1,1499,2499,6999,Tata Power|Adani Green|ReNew Power,Anand Mahindra|Sunita Narain,Climate India|EV Forum,2500000
HealthTech Connect 2024,Healthtech,Bangalore,India,2024,Manipal Auditorium,900,1,1999,2999,7999,Apollo|Practo|Cipla,Sangita Reddy|Shashank ND,HealthTech India|Docplexus,3600000
AI Builders Meetup 2024,AI/ML,Hyderabad,India,2024,T-Hub,500,1,0,999,2999,Microsoft|OpenAI|Google,Ilya Sutskever|Sam Altman,AI Builders India|Discord AI,900000
Cloud Expo India 2024,DevOps / Cloud,Chennai,India,2024,Chennai Trade Centre,1100,2,1999,3499,8999,AWS|Azure|Google Cloud,Werner Vogels|Mark Russinovich,Cloud India|LinkedIn DevOps,4700000
Blockchain Bharat 2024,Web3 / Blockchain,Delhi,India,2024,India Habitat Centre,600,2,2999,4999,11999,Binance|Polygon|Alchemy,Nischal Shetty|Sandeep Nailwal,Crypto India|Telegram Blockchain,4200000
SaaS India Summit 2024,Startup,Chennai,India,2024,ITC Grand Chola,1300,2,3999,6999,14999,Freshworks|Zoho|HubSpot,Girish Mathrubootham|Sridhar Vembu,SaaSBOOMi|LinkedIn SaaS,9800000
Data Engineering Conf 2024,AI/ML,Bangalore,India,2024,Whitefield Convention Centre,1400,2,2499,4499,9999,Databricks|Snowflake|AWS,Martin Kleppmann|Maxime Beauchemin,Data Engineering India|LinkedIn Data,7900000
Digital Marketing Fest 2024,Marketing,Mumbai,India,2024,Grand Hyatt Mumbai,1000,1,1999,2999,7999,Google Ads|Meta|HubSpot,Neil Patel|Sorav Jain,Marketing India|LinkedIn Ads,3500000
XR India Expo 2024,AR/VR,Hyderabad,India,2024,HITEX,800,2,1999,3499,8999,Meta|HTC Vive|Unity,John Carmack|Palmer Luckey,XR India|Discord VR,3900000
Gaming India Summit 2024,Gaming,Bangalore,India,2024,KTPO Whitefield,1200,2,1499,2999,6999,Steam|Epic Games|NVIDIA,Gabe Newell|Tim Sweeney,Gaming India|Discord Gamers,4200000
Robotics Expo India 2024,Robotics,Pune,India,2024,COEP Ground,900,2,1999,3499,8999,Boston Dynamics|ABB|KUKA,Marc Raibert|Rodney Brooks,Robotics India|IEEE Robotics,4100000
event_name,category,city,country,year,venue_name,attendance,duration_days,ticket_price_early_bird,ticket_price_standard,ticket_price_vip,sponsors,speakers,communities_promoted,total_revenue_inr
Tech Event 1 2024,Edtech,Chennai,India,2024,Chennai Hotel Ballroom,478,3,2499,3499,8499,Cisco|Microsoft|Polygon|AWS,Andrew Ng|Fei-Fei Li|Sundar Pichai,DevOps India|AI India|Crypto India,1672522
Tech Event 2 2024,Marketing,Pune,India,2024,Pune Expo Hall,2688,3,2499,3999,6999,AWS|Google|Cisco|Snowflake,Sundar Pichai|Lex Fridman|Sam Altman,LinkedIn Tech|Kaggle India|Crypto India,10749312
Tech Event 3 2024,DevOps / Cloud,Chennai,India,2024,Chennai Auditorium,850,2,2499,2999,5999,AWS|Cisco|Databricks|Intel,Kelsey Hightower|Martin Kleppmann|Sundar Pichai,Crypto India|DevOps India|Discord Devs,2549150
Tech Event 4 2024,DevOps / Cloud,Delhi,India,2024,Delhi Tech Park,4087,3,2999,4499,9499,Oracle|Cisco|Microsoft|IBM,Martin Kleppmann|Nandan Nilekani|Fei-Fei Li,DevOps India|Startup India|Discord Devs,18387413
Tech Event 5 2024,Cybersecurity,Chennai,India,2024,Chennai Hotel Ballroom,3448,2,2499,4499,7499,Intel|Meta|Oracle|Databricks,Fei-Fei Li|Sam Altman|Nandan Nilekani,Discord Devs|DevOps India|Startup India,15512552
Tech Event 6 2024,Fintech,Hyderabad,India,2024,Hyderabad Tech Park,3161,1,1999,2499,7499,NVIDIA|Google|IBM|Meta,Martin Kleppmann|Andrew Ng|Lex Fridman,AI India|DevOps India|LinkedIn Tech,7899339
Tech Event 7 2024,Gaming,Chennai,India,2024,Chennai Convention Centre,2850,3,1999,3499,8499,Databricks|Meta|Polygon|Google,Sam Altman|Kelsey Hightower|Lex Fridman,Startup India|Kaggle India|DevOps India,9972150
Tech Event 8 2024,ClimateTech,Chennai,India,2024,Chennai Convention Centre,4828,2,1499,2999,5999,AWS|Cisco|Microsoft|IBM,Sundar Pichai|Kelsey Hightower|Martin Kleppmann,Crypto India|LinkedIn Tech|AI India,14479172
Tech Event 9 2024,Fintech,Hyderabad,India,2024,Hyderabad Convention Centre,3511,3,999,1499,4499,AWS|Databricks|Polygon|Oracle,Martin Kleppmann|Fei-Fei Li|Sam Altman,LinkedIn Tech|Startup India|Kaggle India,5262989
Tech Event 10 2024,Robotics,Mumbai,India,2024,Mumbai Convention Centre,461,3,2999,3499,8499,Google|IBM|AWS|Polygon,Sam Altman|Lex Fridman|Martin Kleppmann,Crypto India|Discord Devs|AI India,1613039
Tech Event 11 2024,Startup,Mumbai,India,2024,Mumbai Hotel Ballroom,2086,1,999,1499,6499,Polygon|Snowflake|AWS|Databricks,Andrew Ng|Nandan Nilekani|Martin Kleppmann,AI India|Startup India|Crypto India,3126914
Tech Event 12 2024,Gaming,Mumbai,India,2024,Mumbai Expo Hall,3480,3,999,1999,4999,Google|Microsoft|Meta|Intel,Fei-Fei Li|Nandan Nilekani|Martin Kleppmann,Crypto India|Kaggle India|LinkedIn Tech,6956520
Tech Event 13 2024,Healthtech,Bangalore,India,2024,Bangalore Tech Park,1578,3,0,1000,9000,Polygon|Intel|Oracle|Meta,Fei-Fei Li|Lex Fridman|Martin Kleppmann,LinkedIn Tech|Kaggle India|DevOps India,1578000
Tech Event 14 2024,DevOps / Cloud,Pune,India,2024,Pune Tech Park,2047,3,1999,3499,6499,Meta|NVIDIA|Google|Cisco,Kelsey Hightower|Lex Fridman|Fei-Fei Li,DevOps India|Startup India|Crypto India,7162453
Tech Event 15 2024,ClimateTech,Delhi,India,2024,Delhi Auditorium,606,1,2499,2999,10999,Intel|Oracle|Google|AWS,Andrew Ng|Martin Kleppmann|Fei-Fei Li,DevOps India|Crypto India|AI India,1817394
Tech Event 16 2024,DevOps / Cloud,Mumbai,India,2024,Mumbai Auditorium,2656,1,999,2499,10499,AWS|Microsoft|Snowflake|Meta,Nandan Nilekani|Andrew Ng|Martin Kleppmann,DevOps India|Startup India|LinkedIn Tech,6637344
Tech Event 17 2024,Robotics,Kolkata,India,2024,Kolkata Expo Hall,2839,3,0,1000,6000,Microsoft|Meta|Polygon|Cisco,Fei-Fei Li|Martin Kleppmann|Nandan Nilekani,LinkedIn Tech|Kaggle India|DevOps India,2839000
Tech Event 18 2024,Edtech,Bangalore,India,2024,Bangalore Auditorium,4137,1,1999,2999,10999,NVIDIA|Meta|IBM|Google,Martin Kleppmann|Kelsey Hightower|Sundar Pichai,AI India|Crypto India|Kaggle India,12406863
Tech Event 19 2024,Startup,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,1772,2,0,1500,9500,Microsoft|Google|Cisco|Databricks,Sam Altman|Lex Fridman|Kelsey Hightower,LinkedIn Tech|Discord Devs|Startup India,2658000
Tech Event 20 2024,Marketing,Chennai,India,2024,Chennai Expo Hall,2615,2,2999,3999,8999,Databricks|IBM|NVIDIA|Intel,Sam Altman|Kelsey Hightower|Lex Fridman,DevOps India|Discord Devs|LinkedIn Tech,10457385
Tech Event 21 2024,Edtech,Ahmedabad,India,2024,Ahmedabad Tech Park,3697,1,1999,2499,7499,Oracle|IBM|Cisco|Google,Lex Fridman|Martin Kleppmann|Kelsey Hightower,DevOps India|AI India|Discord Devs,9238803
Tech Event 22 2024,AI/ML,Mumbai,India,2024,Mumbai Auditorium,3329,3,999,1999,6999,Databricks|IBM|Cisco|Polygon,Lex Fridman|Kelsey Hightower|Andrew Ng,Crypto India|Discord Devs|Kaggle India,6654671
Tech Event 23 2024,AR/VR,Hyderabad,India,2024,Hyderabad Tech Park,3104,1,2499,4499,9499,Snowflake|Databricks|Oracle|Microsoft,Kelsey Hightower|Fei-Fei Li|Lex Fridman,DevOps India|Kaggle India|LinkedIn Tech,13964896
Tech Event 24 2024,Marketing,Bangalore,India,2024,Bangalore Auditorium,1195,3,1999,2999,5999,Google|NVIDIA|Snowflake|Meta,Kelsey Hightower|Nandan Nilekani|Sam Altman,AI India|Startup India|LinkedIn Tech,3583805
Tech Event 25 2024,Edtech,Chennai,India,2024,Chennai Expo Hall,2358,1,0,2000,5000,AWS|Cisco|Snowflake|IBM,Andrew Ng|Martin Kleppmann|Nandan Nilekani,Discord Devs|AI India|LinkedIn Tech,4716000
Tech Event 26 2024,ClimateTech,Kolkata,India,2024,Kolkata Tech Park,1538,2,1499,1999,4999,NVIDIA|Cisco|Databricks|Intel,Lex Fridman|Andrew Ng|Kelsey Hightower,DevOps India|Crypto India|Discord Devs,3074462
Tech Event 27 2024,Startup,Bangalore,India,2024,Bangalore Tech Park,1499,3,999,1499,6499,Oracle|Intel|Cisco|NVIDIA,Fei-Fei Li|Nandan Nilekani|Lex Fridman,Discord Devs|Kaggle India|Crypto India,2247001
Tech Event 28 2024,Web3 / Blockchain,Delhi,India,2024,Delhi Auditorium,2175,2,999,1999,9999,Intel|Google|Polygon|Snowflake,Andrew Ng|Sundar Pichai|Martin Kleppmann,Crypto India|Startup India|AI India,4347825
Tech Event 29 2024,Edtech,Chennai,India,2024,Chennai Auditorium,3420,1,2499,2999,10999,Polygon|Snowflake|Cisco|Meta,Lex Fridman|Kelsey Hightower|Nandan Nilekani,Crypto India|DevOps India|Discord Devs,10256580
Tech Event 30 2024,Marketing,Hyderabad,India,2024,Hyderabad Expo Hall,3633,3,2999,3999,8999,Databricks|Snowflake|Intel|Oracle,Lex Fridman|Andrew Ng|Fei-Fei Li,Crypto India|Discord Devs|Kaggle India,14528367
Tech Event 31 2024,Robotics,Bangalore,India,2024,Bangalore Convention Centre,1410,1,999,1999,6999,Snowflake|Microsoft|AWS|Google,Sam Altman|Fei-Fei Li|Kelsey Hightower,Kaggle India|AI India|Discord Devs,2818590
Tech Event 32 2024,Cybersecurity,Mumbai,India,2024,Mumbai Tech Park,4953,1,0,1000,9000,NVIDIA|Microsoft|Oracle|Snowflake,Lex Fridman|Martin Kleppmann|Kelsey Hightower,Discord Devs|Kaggle India|LinkedIn Tech,4953000
Tech Event 33 2024,Gaming,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,4026,3,2499,3999,11999,AWS|Snowflake|IBM|Oracle,Kelsey Hightower|Sam Altman|Fei-Fei Li,Kaggle India|AI India|Discord Devs,16099974
Tech Event 34 2024,Marketing,Kolkata,India,2024,Kolkata Hotel Ballroom,651,1,1999,3999,6999,Snowflake|NVIDIA|Polygon|Meta,Fei-Fei Li|Kelsey Hightower|Sundar Pichai,LinkedIn Tech|DevOps India|Discord Devs,2603349
Tech Event 35 2024,Marketing,Hyderabad,India,2024,Hyderabad Auditorium,4843,3,0,500,3500,Google|NVIDIA|Meta|Databricks,Nandan Nilekani|Sam Altman|Fei-Fei Li,LinkedIn Tech|Kaggle India|Startup India,2421500
Tech Event 36 2024,Healthtech,Bangalore,India,2024,Bangalore Hotel Ballroom,1235,1,2999,3999,6999,Meta|Cisco|Google|Polygon,Nandan Nilekani|Kelsey Hightower|Sundar Pichai,LinkedIn Tech|Startup India|Crypto India,4938765
Tech Event 37 2024,Gaming,Kolkata,India,2024,Kolkata Tech Park,338,1,1499,3499,6499,Microsoft|Oracle|Polygon|Cisco,Kelsey Hightower|Sam Altman|Sundar Pichai,Startup India|Crypto India|Kaggle India,1182662
Tech Event 38 2024,ClimateTech,Mumbai,India,2024,Mumbai Expo Hall,2423,2,2999,3999,11999,Microsoft|Snowflake|Cisco|IBM,Andrew Ng|Nandan Nilekani|Kelsey Hightower,Discord Devs|LinkedIn Tech|AI India,9689577
Tech Event 39 2024,Marketing,Bangalore,India,2024,Bangalore Hotel Ballroom,3321,3,1499,1999,9999,AWS|NVIDIA|Meta|Databricks,Fei-Fei Li|Martin Kleppmann|Nandan Nilekani,LinkedIn Tech|Startup India|Crypto India,6638679
Tech Event 40 2024,Web3 / Blockchain,Ahmedabad,India,2024,Ahmedabad Hotel Ballroom,4230,2,2499,3999,6999,Polygon|Meta|IBM|Google,Kelsey Hightower|Nandan Nilekani|Sundar Pichai,LinkedIn Tech|Kaggle India|DevOps India,16915770
Tech Event 41 2024,Startup,Kolkata,India,2024,Kolkata Auditorium,3092,2,999,2499,5499,Microsoft|Oracle|Databricks|Google,Lex Fridman|Kelsey Hightower|Sundar Pichai,Kaggle India|DevOps India|AI India,7726908
Tech Event 42 2024,Startup,Hyderabad,India,2024,Hyderabad Convention Centre,843,3,1499,3499,8499,IBM|Cisco|Meta|Microsoft,Andrew Ng|Sam Altman|Fei-Fei Li,AI India|Startup India|Discord Devs,2949657
Tech Event 43 2024,ClimateTech,Hyderabad,India,2024,Hyderabad Tech Park,1991,3,1999,3499,11499,Microsoft|Polygon|AWS|Intel,Fei-Fei Li|Nandan Nilekani|Andrew Ng,Crypto India|Kaggle India|AI India,6966509
Tech Event 44 2024,Marketing,Pune,India,2024,Pune Auditorium,4479,3,1999,2499,10499,Cisco|Intel|Databricks|Snowflake,Sam Altman|Martin Kleppmann|Fei-Fei Li,Crypto India|DevOps India|Discord Devs,11193021
Tech Event 45 2024,Gaming,Mumbai,India,2024,Mumbai Hotel Ballroom,2438,2,2499,3999,6999,Oracle|Intel|IBM|Microsoft,Lex Fridman|Andrew Ng|Martin Kleppmann,DevOps India|LinkedIn Tech|AI India,9749562
Tech Event 46 2024,Startup,Hyderabad,India,2024,Hyderabad Convention Centre,671,2,1499,2499,7499,Snowflake|Oracle|Databricks|Intel,Andrew Ng|Nandan Nilekani|Kelsey Hightower,DevOps India|Startup India|AI India,1676829
Tech Event 47 2024,Web3 / Blockchain,Hyderabad,India,2024,Hyderabad Tech Park,3789,1,1499,2499,5499,IBM|Google|Snowflake|Cisco,Fei-Fei Li|Sam Altman|Nandan Nilekani,AI India|Discord Devs|Startup India,9468711
Tech Event 48 2024,Gaming,Mumbai,India,2024,Mumbai Expo Hall,588,3,1999,2499,5499,Polygon|Intel|Cisco|Snowflake,Fei-Fei Li|Andrew Ng|Sundar Pichai,Crypto India|Kaggle India|Startup India,1469412
Tech Event 49 2024,Fintech,Mumbai,India,2024,Mumbai Expo Hall,3962,2,2999,3999,6999,NVIDIA|Microsoft|Meta|Google,Martin Kleppmann|Sam Altman|Fei-Fei Li,Kaggle India|Startup India|AI India,15844038
Tech Event 50 2024,Fintech,Bangalore,India,2024,Bangalore Tech Park,2694,2,999,2499,10499,IBM|Google|Meta|Oracle,Fei-Fei Li|Lex Fridman|Andrew Ng,Startup India|Crypto India|LinkedIn Tech,6732306
Tech Event 51 2024,Healthtech,Mumbai,India,2024,Mumbai Expo Hall,2858,2,1999,3999,8999,Polygon|Google|Databricks|Snowflake,Nandan Nilekani|Sam Altman|Kelsey Hightower,Crypto India|Discord Devs|LinkedIn Tech,11429142
Tech Event 52 2024,Gaming,Pune,India,2024,Pune Expo Hall,3747,1,1999,3999,11999,IBM|Microsoft|Cisco|Google,Lex Fridman|Sundar Pichai|Andrew Ng,Crypto India|DevOps India|Discord Devs,14984253
